	addr	pc	x	y
507	('115', 'JURONG EAST ST 13', 'JURONG EAST')	600115	103.735277	1.3396620000000001
508	('115', 'LENGKONG TIGA', 'BEDOK')	410115	103.911313	1.323159
509	('115', 'LOR 1 TOA PAYOH', 'TOA PAYOH')	310115	103.844501	1.340627
510	('115', 'MARSILING RISE', 'WOODLANDS')	730115	103.781062	1.438343
511	('115', 'PASIR RIS ST 11', 'PASIR RIS')	510115	103.954782	1.368999
512	('115', 'PENDING RD', 'BUKIT PANJANG')	670115	103.76899	1.378116
513	('115', 'POTONG PASIR AVE 1', 'TOA PAYOH')	350115	103.86303000000001	1.337273
514	('115', 'RIVERVALE WALK', 'SENGKANG')	540115	103.901128	1.3847639999999999
515	('115', 'SERANGOON NTH AVE 1', 'SERANGOON')	550115	103.870746	1.368287
516	('115', 'TECK WHYE LANE', 'CHOA CHU KANG')	680115	103.75134200000001	1.3789120000000001
517	('115', 'WHAMPOA RD', 'KALLANG/WHAMPOA')	320115	103.85730600000001	1.326584
518	('115', 'YISHUN RING RD', 'YISHUN')	760115	103.827917	1.434542
519	('115A', 'YISHUN RING RD', 'YISHUN')	761115	103.82726	1.433278
520	('115B', 'YISHUN RING RD', 'YISHUN')	762115	103.827026	1.433612
521	('115C', 'YISHUN RING RD', 'YISHUN')	763115	103.82758299999999	1.433759
522	('116', 'ANG MO KIO AVE 4', 'ANG MO KIO')	560116	103.836265	1.373432
523	('116', 'BEDOK NTH RD', 'BEDOK')	460116	103.937878	1.330934
524	('116', 'BEDOK RESERVOIR RD', 'BEDOK')	470116	103.908652	1.330981
525	('116', 'BISHAN ST 12', 'BISHAN')	570116	103.849333	1.34776
526	('116', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')	650116	103.746549	1.3496190000000001
527	('116', 'BT MERAH CTRL', 'BUKIT MERAH')	150116	103.814995	1.283822
528	('116', 'BT MERAH VIEW', 'BUKIT MERAH')	151116	103.82171600000001	1.285073
529	('116', 'CLEMENTI ST 13', 'CLEMENTI')	120116	103.77192	1.324506
530	('116', 'EDGEFIELD PLAINS', 'PUNGGOL')	820116	103.90701999999999	1.3954389999999999
531	('116', 'HOUGANG AVE 1', 'HOUGANG')	530116	103.88784799999999	1.353135
532	('116', 'JURONG EAST ST 13', 'JURONG EAST')	600116	103.73464799999999	1.339712
533	('116', 'LENGKONG TIGA', 'BEDOK')	410116	103.911815	1.322767
534	('116', 'LOR 2 TOA PAYOH', 'TOA PAYOH')	310116	103.84614300000001	1.3404129999999999
535	('116', 'MARSILING RISE', 'WOODLANDS')	730116	103.780332	1.438092
536	('116', 'PASIR RIS ST 11', 'PASIR RIS')	510116	103.954512	1.368494
537	('116', 'PENDING RD', 'BUKIT PANJANG')	670116	103.768619	1.377091
538	('116', 'POTONG PASIR AVE 1', 'TOA PAYOH')	350116	103.862655	1.336562
539	('116', 'SERANGOON NTH AVE 1', 'SERANGOON')	550116	103.871765	1.368544
540	('116', 'SIMEI ST 1', 'TAMPINES')	520116	103.951063	1.343604
541	('116', 'TECK WHYE LANE', 'CHOA CHU KANG')	680116	103.751979	1.379132
542	('116', 'YISHUN RING RD', 'YISHUN')	760116	103.827917	1.434954
543	('116A', 'RIVERVALE DR', 'SENGKANG')	541116	103.90241800000001	1.382651
544	('116B', 'RIVERVALE DR', 'SENGKANG')	542116	103.90223399999999	1.382093
545	('116C', 'RIVERVALE DR', 'SENGKANG')	543116	103.90292	1.3821450000000002
546	('117', 'ANG MO KIO AVE 4', 'ANG MO KIO')	560117	103.83542	1.373894
547	('117', 'BEDOK NTH RD', 'BEDOK')	460117	103.938271	1.3305639999999999
548	('117', 'BEDOK RESERVOIR RD', 'BEDOK')	470117	103.908507	1.331428
