pc,x,y,block,street_name,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1 ROOM,2 ROOM,3 ROOM,4 ROOM,5 ROOM,EXECUTIVE,MULTI GENERATION,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,town
524168,103.958097,1.342957,168A,PUNGGOL EAST,18.0,2007.0,Y,N,N,N,N,N,PG,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
460169,103.944927,1.320393,168A,QUEENSWAY,20.0,1973.0,Y,Y,N,N,N,N,QT,228.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUEENSTOWN
570169,103.854172,1.346957,168A,SIMEI LANE,12.0,2011.0,Y,N,N,N,N,N,TAP,40.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TAMPINES
640169,103.707289,1.3474270000000002,,,,,,,,,,,,,,,,,,,,,,,,,
650169,103.740767,1.346618,168B,PUNGGOL EAST,18.0,2007.0,Y,N,N,N,N,N,PG,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
530169,103.889927,1.3518629999999998,168B,SIMEI LANE,12.0,2011.0,Y,N,N,N,N,N,TAP,40.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TAMPINES
310169,103.842769,1.331751,168C,PUNGGOL FIELD,18.0,2012.0,Y,N,N,N,N,N,PG,67.0,0.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
140169,103.802846,1.290489,168C,SIMEI LANE,12.0,2011.0,Y,N,N,N,N,N,TAP,40.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TAMPINES
730169,103.776708,1.433355,168D,PUNGGOL FIELD,18.0,2012.0,Y,Y,N,N,N,N,PG,64.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
821169,103.914305,1.393151,168D,SIMEI LANE,12.0,2011.0,Y,N,N,Y,N,N,TAP,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TAMPINES
