	addr	pc
2274	"('216', 'MARSILING LANE', 'WOODLANDS')"	730216
2275	"('216', 'PASIR RIS ST 21', 'PASIR RIS')"	510216
2276	"('216', 'PETIR RD', 'BUKIT PANJANG')"	670216
2277	"('216', 'SERANGOON AVE 4', 'SERANGOON')"	550216
2278	"('216', 'TAMPINES ST 23', 'TAMPINES')"	520216
2279	"('216', 'YISHUN ST 21', 'YISHUN')"	760216
2280	"('217', 'BEDOK NTH ST 1', 'BEDOK')"	460217
2281	"('217', 'BISHAN ST 23', 'BISHAN')"	570217
2282	"('217', 'BOON LAY AVE', 'JURONG WEST')"	640217
2283	"('217', 'BT BATOK ST 21', 'BUKIT BATOK')"	650217
2284	"('217', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680217
2285	"('217', 'JURONG EAST ST 21', 'JURONG EAST')"	600217
2286	"('217', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310217
2287	"('217', 'MARSILING CRES', 'WOODLANDS')"	730217
2288	"('217', 'PASIR RIS ST 21', 'PASIR RIS')"	510217
2289	"('217', 'PETIR RD', 'BUKIT PANJANG')"	670217
2290	"('217', 'SERANGOON AVE 4', 'SERANGOON')"	550217
2291	"('217', 'TAMPINES ST 23', 'TAMPINES')"	520217
2292	"('217', 'YISHUN ST 21', 'YISHUN')"	760217
2293	"('217A', 'JURONG EAST ST 21', 'JURONG EAST')"	601217
2294	"('218', 'ANG MO KIO AVE 1', 'ANG MO KIO')"	560218
2295	"('218', 'BEDOK NTH ST 1', 'BEDOK')"	460218
2296	"('218', 'BISHAN ST 23', 'BISHAN')"	570218
2297	"('218', 'BT BATOK ST 21', 'BUKIT BATOK')"	650218
2298	"('218', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680218
2299	"('218', 'JURONG EAST ST 21', 'JURONG EAST')"	600218
2300	"('218', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310218
2301	"('218', 'MARSILING CRES', 'WOODLANDS')"	730218
2302	"('218', 'PASIR RIS ST 21', 'PASIR RIS')"	510218
2303	"('218', 'PETIR RD', 'BUKIT PANJANG')"	670218
2304	"('218', 'SERANGOON AVE 4', 'SERANGOON')"	550218
2305	"('218', 'TAMPINES ST 24', 'TAMPINES')"	520218
2306	"('218', 'YISHUN ST 21', 'YISHUN')"	760218
2307	"('219', 'ANG MO KIO AVE 1', 'ANG MO KIO')"	560219
2308	"('219', 'BISHAN ST 23', 'BISHAN')"	570219
2309	"('219', 'BOON LAY AVE', 'JURONG WEST')"	640219
2310	"('219', 'BT BATOK ST 21', 'BUKIT BATOK')"	650219
2311	"('219', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680219
2312	"('219', 'JURONG EAST ST 21', 'JURONG EAST')"	600219
2313	"('219', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310219
2314	"('219', 'PASIR RIS ST 21', 'PASIR RIS')"	510219
2315	"('219', 'PETIR RD', 'BUKIT PANJANG')"	670219
2316	"('219', 'SERANGOON AVE 4', 'SERANGOON')"	550219
2317	"('219', 'TAMPINES ST 24', 'TAMPINES')"	520219
2318	"('219', 'YISHUN ST 21', 'YISHUN')"	760219
2319	"('219A', 'BEDOK CTRL', 'BEDOK')"	461219
2320	"('219A', 'JURONG EAST ST 21', 'JURONG EAST')"	601219
2321	"('219B', 'BEDOK CTRL', 'BEDOK')"	462219
2322	"('219C', 'BEDOK CTRL', 'BEDOK')"	463219
2323	"('219D', 'BEDOK CTRL', 'BEDOK')"	464219
2324	"('22', 'BALAM RD', 'GEYLANG')"	370022
2325	"('22', 'BEDOK STH AVE 1', 'BEDOK')"	460022
2326	"('22', 'BOON KENG RD', 'KALLANG/WHAMPOA')"	330022
2327	"('22', 'DOVER CRES', 'QUEENSTOWN')"	130022
2328	"('22', 'EUNOS CRES', 'GEYLANG')"	400022
2329	"('22', 'GHIM MOH LINK', 'QUEENSTOWN')"	271022
2330	"('22', 'HAIG RD', 'GEYLANG')"	430022
2331	"('22', 'HAVELOCK RD', 'BUKIT MERAH')"	160022
2332	"('22', 'HOUGANG AVE 3', 'HOUGANG')"	530022
2333	"('22', 'JLN MEMBINA', 'BUKIT MERAH')"	166022
2334	"('22', 'KG BAHRU HILL', 'BUKIT MERAH')"	163022
2335	"('22', 'MARSILING DR', 'WOODLANDS')"	730022
2336	"('22', 'OUTRAM PK', 'CENTRAL AREA')"	
2337	"('22', ""QUEEN'S CL"", 'QUEENSTOWN')"	140022
2338	"('22', 'REDHILL CL', 'BUKIT MERAH')"	151022
2339	"('22', 'SIN MING RD', 'BISHAN')"	570022
2340	"('22', ""ST. GEORGE'S RD"", 'KALLANG/WHAMPOA')"	321022
2341	"('22', 'TEBAN GDNS RD', 'JURONG EAST')"	600022
2342	"('22', 'TELOK BLANGAH CRES', 'BUKIT MERAH')"	90022
2343	"('22', 'TIONG BAHRU RD', 'BUKIT MERAH')"	165022
2344	"('220', 'ANG MO KIO AVE 1', 'ANG MO KIO')"	560220
2345	"('220', 'BISHAN ST 23', 'BISHAN')"	570220
2346	"('220', 'BOON LAY AVE', 'JURONG WEST')"	640220
2347	"('220', 'BT BATOK EAST AVE 3', 'BUKIT BATOK')"	650220
2348	"('220', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680220
2349	"('220', 'HOUGANG ST 21', 'HOUGANG')"	530220
2350	"('220', 'JURONG EAST ST 21', 'JURONG EAST')"	600220
2351	"('220', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310220
2352	"('220', 'PASIR RIS ST 21', 'PASIR RIS')"	510220
2353	"('220', 'PETIR RD', 'BUKIT PANJANG')"	670220
2354	"('220', 'SERANGOON AVE 4', 'SERANGOON')"	550220
2355	"('220', 'TAMPINES ST 24', 'TAMPINES')"	520220
2356	"('220', 'YISHUN ST 21', 'YISHUN')"	760220
2357	"('220A', 'BEDOK CTRL', 'BEDOK')"	461220
2358	"('220B', 'BEDOK CTRL', 'BEDOK')"	462220
2359	"('220C', 'BEDOK CTRL', 'BEDOK')"	463220
2360	"('221', 'ANG MO KIO AVE 1', 'ANG MO KIO')"	560221
2361	"('221', 'BISHAN ST 23', 'BISHAN')"	570221
2362	"('221', 'BOON LAY PL', 'JURONG WEST')"	640221
2363	"('221', 'BT BATOK EAST AVE 3', 'BUKIT BATOK')"	650221
2364	"('221', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680221
2365	"('221', 'HOUGANG ST 21', 'HOUGANG')"	530221
2366	"('221', 'JURONG EAST ST 21', 'JURONG EAST')"	600221
2367	"('221', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310221
2368	"('221', 'PASIR RIS ST 21', 'PASIR RIS')"	510221
2369	"('221', 'PENDING RD', 'BUKIT PANJANG')"	670221
2370	"('221', 'SERANGOON AVE 4', 'SERANGOON')"	550221
2371	"('221', 'SIMEI ST 4', 'TAMPINES')"	520221
2372	"('221', 'TAMPINES ST 24', 'TAMPINES')"	521221
2373	"('221', 'YISHUN ST 21', 'YISHUN')"	760221
2374	"('221A', 'BEDOK CTRL', 'BEDOK')"	461221
2375	"('221A', 'JURONG EAST ST 21', 'JURONG EAST')"	601221
2376	"('221B', 'BEDOK CTRL', 'BEDOK')"	462221
2377	"('221C', 'BEDOK CTRL', 'BEDOK')"	463221
2378	"('222', 'ANG MO KIO AVE 1', 'ANG MO KIO')"	560222
2379	"('222', 'BISHAN ST 23', 'BISHAN')"	570222
2380	"('222', 'BT BATOK EAST AVE 3', 'BUKIT BATOK')"	650222
2381	"('222', 'HOUGANG ST 21', 'HOUGANG')"	530222
2382	"('222', 'JURONG EAST ST 21', 'JURONG EAST')"	600222
2383	"('222', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310222
2384	"('222', 'PASIR RIS ST 21', 'PASIR RIS')"	510222
2385	"('222', 'PENDING RD', 'BUKIT PANJANG')"	670222
2386	"('222', 'SERANGOON AVE 4', 'SERANGOON')"	550222
2387	"('222', 'SIMEI ST 4', 'TAMPINES')"	520222
2388	"('222', 'TAMPINES ST 24', 'TAMPINES')"	521222
2389	"('222', 'YISHUN ST 21', 'YISHUN')"	760222
2390	"('223', 'ANG MO KIO AVE 1', 'ANG MO KIO')"	560223
2391	"('223', 'BISHAN ST 23', 'BISHAN')"	570223
2392	"('223', 'BT BATOK EAST AVE 3', 'BUKIT BATOK')"	651223
2393	"('223', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680223
2394	"('223', 'JURONG EAST ST 21', 'JURONG EAST')"	600223
2395	"('223', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310223
2396	"('223', 'PASIR RIS ST 21', 'PASIR RIS')"	510223
2397	"('223', 'PENDING RD', 'BUKIT PANJANG')"	670223
2398	"('223', 'SERANGOON AVE 4', 'SERANGOON')"	550223
2399	"('223', 'SIMEI ST 4', 'TAMPINES')"	520223
2400	"('223', 'TAMPINES ST 24', 'TAMPINES')"	521223
2401	"('223', 'YISHUN ST 21', 'YISHUN')"	760223
2402	"('223A', 'COMPASSVALE WALK', 'SENGKANG')"	541223
2403	"('223A', 'JURONG EAST ST 21', 'JURONG EAST')"	601223
2404	"('223B', 'COMPASSVALE WALK', 'SENGKANG')"	542223
2405	"('223C', 'COMPASSVALE WALK', 'SENGKANG')"	543223
2406	"('223D', 'COMPASSVALE WALK', 'SENGKANG')"	544223
2407	"('224', 'BISHAN ST 23', 'BISHAN')"	570224
2408	"('224', 'BT BATOK ST 21', 'BUKIT BATOK')"	650224
2409	"('224', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680224
2410	"('224', 'JURONG EAST ST 21', 'JURONG EAST')"	600224
2411	"('224', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310224
2412	"('224', 'PASIR RIS ST 21', 'PASIR RIS')"	510224
2413	"('224', 'PENDING RD', 'BUKIT PANJANG')"	670224
2414	"('224', 'SERANGOON AVE 4', 'SERANGOON')"	550224
2415	"('224', 'SIMEI ST 4', 'TAMPINES')"	520224
2416	"('224', 'TAMPINES ST 23', 'TAMPINES')"	521224
2417	"('224', 'YISHUN ST 21', 'YISHUN')"	760224
2418	"('224A', 'COMPASSVALE WALK', 'SENGKANG')"	541224
2419	"('224B', 'COMPASSVALE WALK', 'SENGKANG')"	542224
2420	"('224C', 'COMPASSVALE WALK', 'SENGKANG')"	543224
2421	"('224D', 'COMPASSVALE WALK', 'SENGKANG')"	544224
2422	"('225', 'ANG MO KIO AVE 1', 'ANG MO KIO')"	560225
2423	"('225', 'BISHAN ST 23', 'BISHAN')"	570225
2424	"('225', 'BT BATOK CTRL', 'BUKIT BATOK')"	650225
2425	"('225', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680225
2426	"('225', 'JURONG EAST ST 21', 'JURONG EAST')"	600225
2427	"('225', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310225
2428	"('225', 'PASIR RIS ST 21', 'PASIR RIS')"	510225
2429	"('225', 'PENDING RD', 'BUKIT PANJANG')"	670225
2430	"('225', 'SERANGOON AVE 4', 'SERANGOON')"	550225
2431	"('225', 'SIMEI ST 4', 'TAMPINES')"	520225
2432	"('225', 'TAMPINES ST 23', 'TAMPINES')"	521225
2433	"('225', 'YISHUN ST 21', 'YISHUN')"	760225
2434	"('225A', 'COMPASSVALE WALK', 'SENGKANG')"	541225
2435	"('225A', 'JURONG EAST ST 21', 'JURONG EAST')"	601225
2436	"('225B', 'COMPASSVALE WALK', 'SENGKANG')"	542225
2437	"('225C', 'COMPASSVALE WALK', 'SENGKANG')"	543225
2438	"('226', 'ANG MO KIO AVE 1', 'ANG MO KIO')"	560226
2439	"('226', 'BISHAN ST 23', 'BISHAN')"	570226
2440	"('226', 'BT BATOK CTRL', 'BUKIT BATOK')"	650226
2441	"('226', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680226
2442	"('226', 'JURONG EAST ST 21', 'JURONG EAST')"	600226
2443	"('226', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310226
2444	"('226', 'PASIR RIS ST 21', 'PASIR RIS')"	510226
2445	"('226', 'PENDING RD', 'BUKIT PANJANG')"	670226
2446	"('226', 'SERANGOON AVE 4', 'SERANGOON')"	550226
2447	"('226', 'SIMEI ST 4', 'TAMPINES')"	520226
2448	"('226', 'TAMPINES ST 23', 'TAMPINES')"	521226
2449	"('226', 'YISHUN ST 21', 'YISHUN')"	760226
2450	"('226A', 'COMPASSVALE WALK', 'SENGKANG')"	541226
2451	"('226B', 'ANG MO KIO AVE 1', 'ANG MO KIO')"	562226
2452	"('226B', 'COMPASSVALE WALK', 'SENGKANG')"	542226
2453	"('226C', 'COMPASSVALE WALK', 'SENGKANG')"	543226
2454	"('226E', 'ANG MO KIO AVE 1', 'ANG MO KIO')"	565226
2455	"('227', 'BISHAN ST 23', 'BISHAN')"	570227
2456	"('227', 'BT BATOK CTRL', 'BUKIT BATOK')"	650227
2457	"('227', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680227
2458	"('227', 'JURONG EAST ST 21', 'JURONG EAST')"	600227
2459	"('227', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310227
2460	"('227', 'PASIR RIS ST 21', 'PASIR RIS')"	510227
2461	"('227', 'PENDING RD', 'BUKIT PANJANG')"	670227
2462	"('227', 'SERANGOON AVE 4', 'SERANGOON')"	550227
2463	"('227', 'SIMEI ST 4', 'TAMPINES')"	520227
2464	"('227', 'TAMPINES ST 23', 'TAMPINES')"	521227
2465	"('227', 'YISHUN ST 21', 'YISHUN')"	760227
2466	"('227A', 'COMPASSVALE DR', 'SENGKANG')"	541227
2467	"('227B', 'COMPASSVALE DR', 'SENGKANG')"	542227
2468	"('227C', 'COMPASSVALE DR', 'SENGKANG')"	543227
2469	"('227D', 'COMPASSVALE DR', 'SENGKANG')"	544227
2470	"('228', 'BISHAN ST 23', 'BISHAN')"	570228
2471	"('228', 'BT BATOK CTRL', 'BUKIT BATOK')"	650228
2472	"('228', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680228
2473	"('228', 'JURONG EAST ST 21', 'JURONG EAST')"	600228
2474	"('228', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310228
2475	"('228', 'PASIR RIS ST 21', 'PASIR RIS')"	510228
2476	"('228', 'PENDING RD', 'BUKIT PANJANG')"	670228
2477	"('228', 'SERANGOON AVE 4', 'SERANGOON')"	550228
2478	"('228', 'SIMEI ST 4', 'TAMPINES')"	520228
2479	"('228', 'TAMPINES ST 23', 'TAMPINES')"	521228
2480	"('228', 'YISHUN ST 21', 'YISHUN')"	760228
2481	"('228A', 'COMPASSVALE WALK', 'SENGKANG')"	541228
2482	"('228B', 'COMPASSVALE WALK', 'SENGKANG')"	542228
2483	"('228C', 'COMPASSVALE WALK', 'SENGKANG')"	543228
2484	"('229', 'ANG MO KIO AVE 3', 'ANG MO KIO')"	560229
2485	"('229', 'BISHAN ST 23', 'BISHAN')"	570229
2486	"('229', 'BT BATOK EAST AVE 3', 'BUKIT BATOK')"	650229
2487	"('229', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680229
2488	"('229', 'COMPASSVALE WALK', 'SENGKANG')"	540229
2489	"('229', 'JURONG EAST ST 21', 'JURONG EAST')"	600229
2490	"('229', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310229
2491	"('229', 'PASIR RIS ST 21', 'PASIR RIS')"	510229
2492	"('229', 'PENDING RD', 'BUKIT PANJANG')"	670229
2493	"('229', 'SERANGOON AVE 4', 'SERANGOON')"	550229
2494	"('229', 'SIMEI ST 4', 'TAMPINES')"	520229
2495	"('229', 'TAMPINES ST 23', 'TAMPINES')"	521229
2496	"('229', 'YISHUN ST 21', 'YISHUN')"	760229
2497	"('23', 'BALAM RD', 'GEYLANG')"	370023
2498	"('23', 'BEDOK STH AVE 1', 'BEDOK')"	460023
2499	"('23', 'BENDEMEER RD', 'KALLANG/WHAMPOA')"	330023
2500	"('23', 'DOVER CRES', 'QUEENSTOWN')"	130023
2501	"('23', 'EUNOS CRES', 'GEYLANG')"	400023
2502	"('23', 'GHIM MOH LINK', 'QUEENSTOWN')"	271023
2503	"('23', 'HAIG RD', 'GEYLANG')"	430023
2504	"('23', 'HOUGANG AVE 3', 'HOUGANG')"	530023
2505	"('23', 'JLN MEMBINA', 'BUKIT MERAH')"	163023
2506	"('23', 'KG BAHRU HILL', 'BUKIT MERAH')"	160023
2507	"('23', 'LIM LIAK ST', 'BUKIT MERAH')"	161023
2508	"('23', 'MARSILING DR', 'WOODLANDS')"	730023
2509	"('23', 'SIN MING RD', 'BISHAN')"	570023
2510	"('23', ""ST. GEORGE'S RD"", 'KALLANG/WHAMPOA')"	320023
2511	"('23', 'TEBAN GDNS RD', 'JURONG EAST')"	600023
2512	"('23', 'TELOK BLANGAH CRES', 'BUKIT MERAH')"	90023
2513	"('23', 'TOA PAYOH EAST', 'TOA PAYOH')"	310023
2514	"('230', 'ANG MO KIO AVE 3', 'ANG MO KIO')"	560230
2515	"('230', 'BISHAN ST 23', 'BISHAN')"	570230
2516	"('230', 'BT BATOK EAST AVE 3', 'BUKIT BATOK')"	650230
2517	"('230', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680230
2518	"('230', 'COMPASSVALE WALK', 'SENGKANG')"	540230
2519	"('230', 'HOUGANG AVE 1', 'HOUGANG')"	530230
2520	"('230', 'JURONG EAST ST 21', 'JURONG EAST')"	600230
2521	"('230', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310230
2522	"('230', 'PASIR RIS ST 21', 'PASIR RIS')"	510230
2523	"('230', 'PENDING RD', 'BUKIT PANJANG')"	670230
2524	"('230', 'SERANGOON AVE 4', 'SERANGOON')"	550230
2525	"('230', 'SIMEI ST 4', 'TAMPINES')"	520230
2526	"('230', 'TAMPINES ST 24', 'TAMPINES')"	524230
2527	"('230', 'YISHUN ST 21', 'YISHUN')"	760230
2528	"('230B', 'TAMPINES ST 24', 'TAMPINES')"	525230
2529	"('230C', 'TAMPINES ST 24', 'TAMPINES')"	526230
2530	"('230D', 'TAMPINES ST 24', 'TAMPINES')"	527230
2531	"('230E', 'TAMPINES ST 24', 'TAMPINES')"	528230
2532	"('230F', 'TAMPINES ST 24', 'TAMPINES')"	529230
2533	"('230G', 'TAMPINES ST 21', 'TAMPINES')"	521230
2534	"('230H', 'TAMPINES ST 21', 'TAMPINES')"	522230
2535	"('230J', 'TAMPINES ST 21', 'TAMPINES')"	523230
2536	"('231', 'ANG MO KIO AVE 3', 'ANG MO KIO')"	560231
2537	"('231', 'BISHAN ST 23', 'BISHAN')"	570231
2538	"('231', 'BT BATOK EAST AVE 5', 'BUKIT BATOK')"	650231
2539	"('231', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680231
2540	"('231', 'COMPASSVALE WALK', 'SENGKANG')"	540231
2541	"('231', 'HOUGANG ST 21', 'HOUGANG')"	530231
2542	"('231', 'JURONG EAST ST 21', 'JURONG EAST')"	600231
2543	"('231', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310231
2544	"('231', 'PASIR RIS DR 4', 'PASIR RIS')"	510231
2545	"('231', 'PENDING RD', 'BUKIT PANJANG')"	670231
2546	"('231', 'SERANGOON AVE 3', 'SERANGOON')"	550231
2547	"('231', 'SIMEI ST 4', 'TAMPINES')"	520231
2548	"('231', 'TAMPINES ST 21', 'TAMPINES')"	521231
2549	"('231', 'YISHUN ST 21', 'YISHUN')"	760231
2550	"('232', 'ANG MO KIO AVE 3', 'ANG MO KIO')"	560232
2551	"('232', 'BAIN ST', 'CENTRAL AREA')"	180232
2552	"('232', 'BISHAN ST 22', 'BISHAN')"	570232
2553	"('232', 'BT BATOK EAST AVE 5', 'BUKIT BATOK')"	650232
2554	"('232', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680232
2555	"('232', 'COMPASSVALE WALK', 'SENGKANG')"	540232
2556	"('232', 'HOUGANG AVE 1', 'HOUGANG')"	530232
2557	"('232', 'JURONG EAST ST 21', 'JURONG EAST')"	600232
2558	"('232', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310232
2559	"('232', 'PASIR RIS DR 4', 'PASIR RIS')"	510232
2560	"('232', 'PENDING RD', 'BUKIT PANJANG')"	670232
2561	"('232', 'SERANGOON AVE 3', 'SERANGOON')"	550232
2562	"('232', 'SIMEI ST 4', 'TAMPINES')"	520232
2563	"('232', 'TAMPINES ST 21', 'TAMPINES')"	521232
2564	"('232', 'YISHUN ST 21', 'YISHUN')"	760232
2565	"('232A', 'SERANGOON AVE 2', 'SERANGOON')"	551232
2566	"('233', 'ANG MO KIO AVE 3', 'ANG MO KIO')"	560233
2567	"('233', 'BAIN ST', 'CENTRAL AREA')"	180233
2568	"('233', 'BISHAN ST 22', 'BISHAN')"	570233
2569	"('233', 'BT BATOK EAST AVE 5', 'BUKIT BATOK')"	650233
2570	"('233', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680233
2571	"('233', 'COMPASSVALE WALK', 'SENGKANG')"	540233
2572	"('233', 'HOUGANG ST 21', 'HOUGANG')"	530233
2573	"('233', 'JURONG EAST ST 21', 'JURONG EAST')"	600233
2574	"('233', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310233
2575	"('233', 'PASIR RIS DR 4', 'PASIR RIS')"	510233
2576	"('233', 'PENDING RD', 'BUKIT PANJANG')"	670233
2577	"('233', 'SERANGOON AVE 3', 'SERANGOON')"	550233
2578	"('233', 'SIMEI ST 4', 'TAMPINES')"	520233
2579	"('233', 'TAMPINES ST 21', 'TAMPINES')"	521233
2580	"('233', 'YISHUN ST 21', 'YISHUN')"	760233
2581	"('234', 'ANG MO KIO AVE 3', 'ANG MO KIO')"	560234
2582	"('234', 'BISHAN ST 22', 'BISHAN')"	570234
2583	"('234', 'BT BATOK EAST AVE 5', 'BUKIT BATOK')"	650234
2584	"('234', 'BT PANJANG RING RD', 'BUKIT PANJANG')"	670234
2585	"('234', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680234
2586	"('234', 'COMPASSVALE WALK', 'SENGKANG')"	540234
2587	"('234', 'HOUGANG AVE 1', 'HOUGANG')"	530234
2588	"('234', 'JURONG EAST ST 21', 'JURONG EAST')"	600234
2589	"('234', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310234
2590	"('234', 'PASIR RIS DR 4', 'PASIR RIS')"	510234
2591	"('234', 'SERANGOON AVE 3', 'SERANGOON')"	550234
2592	"('234', 'SIMEI ST 4', 'TAMPINES')"	520234
2593	"('234', 'TAMPINES ST 21', 'TAMPINES')"	521234
2594	"('234', 'YISHUN ST 21', 'YISHUN')"	760234
2595	"('234A', 'SERANGOON AVE 2', 'SERANGOON')"	551234
2596	"('235', 'ANG MO KIO AVE 3', 'ANG MO KIO')"	560235
2597	"('235', 'BISHAN ST 22', 'BISHAN')"	570235
2598	"('235', 'BT BATOK EAST AVE 5', 'BUKIT BATOK')"	650235
2599	"('235', 'BT PANJANG RING RD', 'BUKIT PANJANG')"	670235
2600	"('235', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680235
2601	"('235', 'COMPASSVALE WALK', 'SENGKANG')"	540235
2602	"('235', 'HOUGANG ST 21', 'HOUGANG')"	530235
2603	"('235', 'JURONG EAST ST 21', 'JURONG EAST')"	600235
2604	"('235', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310235
2605	"('235', 'PASIR RIS ST 21', 'PASIR RIS')"	510235
2606	"('235', 'SERANGOON AVE 3', 'SERANGOON')"	550235
2607	"('235', 'SIMEI ST 4', 'TAMPINES')"	520235
2608	"('235', 'TAMPINES ST 21', 'TAMPINES')"	521235
2609	"('235', 'YISHUN ST 21', 'YISHUN')"	760235
2610	"('236', 'BISHAN ST 22', 'BISHAN')"	570236
2611	"('236', 'BT BATOK EAST AVE 5', 'BUKIT BATOK')"	650236
2612	"('236', 'BT PANJANG RING RD', 'BUKIT PANJANG')"	670236
2613	"('236', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680236
2614	"('236', 'COMPASSVALE WALK', 'SENGKANG')"	540236
2615	"('236', 'HOUGANG AVE 1', 'HOUGANG')"	530236
2616	"('236', 'JURONG EAST ST 21', 'JURONG EAST')"	600236
2617	"('236', 'LOR 1 TOA PAYOH', 'TOA PAYOH')"	310236
2618	"('236', 'PASIR RIS ST 21', 'PASIR RIS')"	510236
2619	"('236', 'SERANGOON AVE 3', 'SERANGOON')"	550236
2620	"('236', 'TAMPINES ST 21', 'TAMPINES')"	520236
2621	"('236', 'YISHUN RING RD', 'YISHUN')"	760236
2622	"('236A', 'SERANGOON AVE 2', 'SERANGOON')"	551236
2623	"('237', 'BISHAN ST 22', 'BISHAN')"	570237
2624	"('237', 'BT BATOK EAST AVE 5', 'BUKIT BATOK')"	650237
2625	"('237', 'BT PANJANG RING RD', 'BUKIT PANJANG')"	670237
2626	"('237', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680237
2627	"('237', 'COMPASSVALE WALK', 'SENGKANG')"	540237
2628	"('237', 'HOUGANG ST 21', 'HOUGANG')"	530237
2629	"('237', 'JURONG EAST ST 21', 'JURONG EAST')"	600237
2630	"('237', 'LOR 1 TOA PAYOH', 'TOA PAYOH')"	310237
2631	"('237', 'PASIR RIS ST 21', 'PASIR RIS')"	510237
2632	"('237', 'SERANGOON AVE 3', 'SERANGOON')"	550237
2633	"('237', 'TAMPINES ST 21', 'TAMPINES')"	520237
2634	"('237', 'YISHUN RING RD', 'YISHUN')"	760237
2635	"('238', 'BISHAN ST 22', 'BISHAN')"	570238
2636	"('238', 'BT BATOK EAST AVE 5', 'BUKIT BATOK')"	650238
2637	"('238', 'BT PANJANG RING RD', 'BUKIT PANJANG')"	670238
2638	"('238', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680238
2639	"('238', 'COMPASSVALE WALK', 'SENGKANG')"	540238
2640	"('238', 'HOUGANG AVE 1', 'HOUGANG')"	530238
2641	"('238', 'JURONG EAST ST 21', 'JURONG EAST')"	600238
2642	"('238', 'LOR 1 TOA PAYOH', 'TOA PAYOH')"	310238
2643	"('238', 'PASIR RIS ST 21', 'PASIR RIS')"	510238
2644	"('238', 'SERANGOON AVE 2', 'SERANGOON')"	550238
2645	"('238', 'TAMPINES ST 21', 'TAMPINES')"	520238
2646	"('238', 'YISHUN RING RD', 'YISHUN')"	760238
2647	"('239', 'BISHAN ST 22', 'BISHAN')"	570239
2648	"('239', 'BT BATOK EAST AVE 5', 'BUKIT BATOK')"	650239
2649	"('239', 'BT PANJANG RING RD', 'BUKIT PANJANG')"	670239
2650	"('239', 'CHOA CHU KANG CTRL', 'CHOA CHU KANG')"	680239
2651	"('239', 'COMPASSVALE WALK', 'SENGKANG')"	540239
2652	"('239', 'HOUGANG ST 22', 'HOUGANG')"	530239
2653	"('239', 'JURONG EAST ST 21', 'JURONG EAST')"	600239
2654	"('239', 'LOR 1 TOA PAYOH', 'TOA PAYOH')"	310239
2655	"('239', 'PASIR RIS ST 21', 'PASIR RIS')"	510239
2656	"('239', 'SERANGOON AVE 2', 'SERANGOON')"	550239
2657	"('239', 'TAMPINES ST 21', 'TAMPINES')"	520239
2658	"('239', 'YISHUN RING RD', 'YISHUN')"	760239
2659	"('23A', ""QUEEN'S CL"", 'QUEENSTOWN')"	140023
2660	"('23B', ""QUEEN'S CL"", 'QUEENSTOWN')"	141023
2661	"('24', 'BALAM RD', 'GEYLANG')"	370024
2662	"('24', 'BENDEMEER RD', 'KALLANG/WHAMPOA')"	330024
2663	"('24', 'BEO CRES', 'BUKIT MERAH')"	160024
2664	"('24', 'DOVER CRES', 'QUEENSTOWN')"	130024
